institution,addr,lat,lng
National Cheng-chi University,"No. 64, Section 2, Zhinan Road, Wenshan District, Taipei City, Taiwan 116",24.9861694,121.5771149
Universite' Louis-Pasteur,"3080 Rue Louis Pasteur, Trois-Rivières, QC G8Z 4E3, Canada",46.3540293,-72.5641322
Universidade Federal de Ouro Preto (UFOP),"Rua Professor Paulo Magalhães Gomes, 122 - Bauxita, Ouro Preto - MG, 35400-000, Brazil",-20.3969645,-43.5095303
University of Silesia,"Bankowa 12, 40-007 Katowice, Poland",50.2607501,19.0287157
World Health Organization Regional Office for Africa,"Hospital Rd, GRA, Kano, Nigeria",11.9998068,8.5459578
Instituto Nacional de Enfermedades Respiratorias Ismael Cos ıo Villegas,"Calz. de Tlalpan 4502, Belisario Domínguez Secc 16, Tlalpan, 14080 Ciudad de México, CDMX, Mexico",19.2921803,-99.1590142
José Joaquín Aguirre Hospital,"Santos Dumont 999, Independencia, Región Metropolitana, Chile",-33.420156,-70.6531104
Beijing Rehabilitation Hospital of Capital Medical University,"Gongliao Rd, Shijingshan Qu, Beijing Shi, China",39.945193,116.195972
Manchester University,"604 E College Ave, North Manchester, IN 46962, USA",41.0111723,-85.7603577
Rouen University and Hospital,"37 Boulevard Gambetta, 76000 Rouen, France",49.4386196,1.1108685
hôpital Félix-Guyon,"Centre hospitalier régional - Site Félix Guyon, Allée des Topazes, Saint-Denis 97400, Réunion",-20.8910178,55.4440462
Hospital Authority,"145 Edgewood Ave SE, Atlanta, GA 30303, USA",33.75419790000001,-84.3829919
General Hospital of Guangzhou Command of the People's Liberation Army,"Zhannan Rd, Yuexiu Qu, Guangzhou Shi, Guangdong Sheng, China",23.143496,113.254995
Humabs BioMed SA,"Via dei Gaggini 3, 6500 Bellinzona, Switzerland",46.1913489,9.013249799999999
Cleveland Clinic Abu Dhabi,Zayed The First St - Abu Dhabi - United Arab Emirates,24.4976763,54.3878677
Harvard Medical School One Pine Hill Drive,"25 Shattuck St, Boston, MA 02115, USA",42.3356352,-71.1041786
China Agriculture University,"17 Qinghua E Rd, Haidian Qu, Beijing Shi, China",40.004202,116.352988
University Göttingen,"Wilhelmsplatz 1, 37073 Göttingen, Germany",51.5408116,9.9374005
PLA,"1006 J St, Sacramento, CA 95814, USA",38.580011,-121.4932266
National Museums of Kenya,"Kipande Rd, Nairobi, Kenya",-1.273966,36.814488
Kilpauk Medical College and Hospital,"822, Poonamallee High Rd, Near Ega Theatre, Kilpauk, Chennai, Tamil Nadu 600010, India",13.0783427,80.2438901
US National Institute of Allergy and Infectious Diseases,"5601 Fishers Ln, Bethesda, MD 20892, USA",39.06339639999999,-77.1116333
Bayer Vital GmbH,"Kaiser-Wilhelm-Allee 70, 51373 Leverkusen, Germany",51.0159647,6.9878851
World Health Organization,"525 23rd St NW, Washington, DC 20037, USA",38.8963005,-77.0496567
Complejo Asistencial Universitario de León,"Calle Altos de nava, s/n, 24001 León, Spain",42.6195679,-5.5735337
Charles Darwin University,"Ellengowan Dr, Casuarina NT 0810, Australia",-12.3717852,130.8689199
National Taiwan Normal University,"No. 162號, Section 1, Heping East Road, Da’an District, Taipei City, Taiwan 106",25.0261538,121.5274867
Indiana University Health and Indiana University School of Medicine,"340 W 10th St #6200, Indianapolis, IN 46202, USA",39.7815613,-86.16517139999999
Renmin Hospital of Wuhan University. Wuhan,"Wuchang District, Wuhan, China",30.53535699999999,114.299525
Nice Cedex. Lassalle S,"15 W 5th St, Tulsa, OK 74103, USA",36.1513042,-95.99099489999999
Rouen University Hospital,"37 Boulevard Gambetta, 76000 Rouen, France",49.4386196,1.1108685
Johns Hopkins University Medical Center,"3003 N Charles St, Baltimore, MD 21218, USA",39.3252902,-76.61685489999999
Universitario Príncipe de Asturias. Alcalá de Henares. Madrid,"Carr. de Alcalá, s/n, 28805 Meco, Madrid, Spain",40.5093672,-3.3475567
The University of Hong Kong,"Pok Fu Lam, Hong Kong",22.2829989,114.1370848
University of Karlsruhe,"76131 Karlsruhe, Germany",49.0119199,8.4170303
Rochester Institute of Technology,"1 Lomb Memorial Dr, Rochester, NY 14623, USA",43.0844955,-77.6749311
University of KwaZulu-Natal,"238 Mazisi Kunene Rd, Glenwood, Durban, 4041, South Africa",-29.8674219,30.9807272
"Hôtel-Dieu, centre hospitalier universitaire de Nantes","1 Place Alexis-Ricordeau, 44000 Nantes, France",47.2107575,-1.5545498
Carl-von-Ossietzky University Oldenburg,"Ammerländer Heerstraße 114-118, 26129 Oldenburg, Germany",53.1487112,8.1823082
Kyorin University School of Medicine,"6-chōme-20-2 Shinkawa, Mitaka, Tōkyō-to 181-8611, Japan",35.6772445,139.5659938
University of Westminster,"193 Stoner Ave #350, Westminster, MD 21157, USA",39.56031979999999,-76.9899576
CHU de Nice,"30 Voie Romaine, 06000 Nice, France",43.7243711,7.2822826
"ImClone Systems, a wholly-owned subsidiary of eli Lilly and Company; Branchburg","33 Imclone Dr, Branchburg, NJ 08876, USA",40.5544856,-74.7095192
Payam Noor University,"Tehran Province, Tehran, اتوبان ارتش کوی نفت, Nakhl St, Iran",35.8012314,51.5028533
The Georgia Institute of Technology,"North Ave NW, Atlanta, GA 30332, USA",33.7756178,-84.39628499999999
Taipei City Government,"No. 1號, City Hall Rd, Xinyi District, Taipei City, Taiwan 11008",25.0375417,121.5644327
National Paediatric Hospital Dr. Juan P. Garrahan,"Combate de los Pozos 1881, C1245 AAM, Buenos Aires, Argentina",-34.6310786,-58.3937852
Kunshan No,"Kunshan, Suzhou, Jiangsu, China",31.38559699999999,120.980736
Universidad del Valle de Guatemala,"18 Avenida 11-95 Guatemala, Guatemala 01015, Guatemala",14.603762,-90.48924799999999
Science College Xi'an Jiaotong University Xi'an,"28 Xianning W Rd, Jiao Da Shang Ye Jie Qu, Beilin Qu, Xian Shi, Shaanxi Sheng, China",34.250803,108.983693
Angela Chow,"795 N Mountain Ave, Upland, CA 91786, USA",34.103055,-117.6707241
National Health Institute Doutor Ricardo Jorge (INSA),"Av. Padre Cruz, 1600-407 Lisboa, Portugal",38.7643785,-9.1641535
Harbin Institute of Technology,"92 Xidazhi St, Nangang Qu, Haerbin Shi, Heilongjiang Sheng, China",45.7470436,126.6334306
Unigene Laboratories,"810 N 2nd Ave, Highland Park, NJ 08904, USA",40.5029987,-74.4360004
Dartmouth University School of Medicine,"1 Rope Ferry Rd, Hanover, NH 03755, USA",43.7087283,-72.28510849999999
Liguria e Valle d'Aosta,"Via Nizza, 4, 18100 Imperia IM, Italy",43.87298879999999,8.0097262
Cambridge University,"The Old Schools, Trinity Ln, Cambridge CB2 1TN, UK",52.2042666,0.1149085
Regensburg University Medical Center,"Franz-Josef-Strauß-Allee 11, 93053 Regensburg, Germany",48.98812479999999,12.0884399
Sukagawa Animal Hospital,"42 Motomachi, Sukagawa, Fukushima 962-0832, Japan",37.28673,140.373944
Morrisville State College,"80 Eaton St, Morrisville, NY 13408, USA",42.89549,-75.640289
University of Pennsylvania School of Medicine,"3400 Civic Center Blvd, Philadelphia, PA 19104, USA",39.9476279,-75.19259799999999
Mayfair Animal Hospital and Emergency Services,"11619 W North Ave, Wauwatosa, WI 53226, USA",43.05976889999999,-88.0582209
Rua Alexandre Herculano,"R. Alexandre Herculano, Lisboa, Portugal",38.7223986,-9.1500754
CSIC-UPV,"Av. dels Tarongers, 46022 València, Valencia, Spain",39.4787298,-0.3398332
New York State Psychiatric Institute,"1051 Riverside Dr, New York, NY 10032, USA",40.8425117,-73.94441429999999
Lund University,"Lund, Sweden",55.7119483,13.203493
University of Hawaii at Mānoa,"2500 Campus Rd, Honolulu, HI 96822, USA",21.296939,-157.8171118
"University of Rome ""Tor Vergata""","Via Cracovia, 50, 00133 Roma RM, Italy",41.8520309,12.6289995
National Museum of Natural History,"10th St. & Constitution Ave. NW, Washington, DC 20560, USA",38.8912662,-77.0260654
Cancer Institute,"3415 McIntosh Cir Dr, Joplin, MO 64804, USA",37.0506202,-94.52373039999999
Jeonbuk Science College,"509 Jeongeupsa-ro, Sigi-dong, Jeongeup, Jeollabuk-do, South Korea",35.5489747,126.8608334
Aletheia University,"No. 32號, Zhenli Street, Tamsui District, New Taipei City, Taiwan 251",25.1751815,121.4344674
Vagdeevi College of Pharmacy,"2-2-457, Rajaji Nagar, Ramnagar, Ramnagar, Hanamkonda, Telangana 506001, India",18.0115236,79.55572169999999
Technische Universita¨t München,"Arcisstraße 21, 80333 München, Germany",48.14966,11.5678602
University of Melbourne,"Parkville VIC 3010, Australia",-37.7983459,144.960974
National Research Institute for Child Health and Development,"1 Center Dr, Bethesda, MD 20892, USA",39.00108,-77.100415
United States Environmental Protection Agency,"Topeka, KS 66612, USA",39.0397435,-95.67998159999999
Hospital Central de la Defensa Gómez Ulla,"Glorieta Ejército, 1, 28047 Madrid, Spain",40.3894137,-3.7463618
Rua Alfredo Allen,"R. Alfredo Allen, 4200 Porto, Portugal",41.1763897,-8.603917299999999
NanKai University,"94 Weijin Rd, Nankai Qu, China, 300071",39.10394429999999,117.1742232
Faculté de Pharmacie de Paris,"4 Avenue de l'Observatoire, 75006 Paris, France",48.8433313,2.33603
Nantong University,"40 Qing Nian Dong Lu, Chongchuan Qu, Nantong Shi, Jiangsu Sheng, China",32.006493,120.886132
National Institute of Radiological Science,"4-chōme-9-1 Anagawa, Inage-ku, Chiba, 263-0024, Japan",35.6353268,140.1042078
Universit e Nord de France,"Nord, France",50.3851246,3.2642436
"National Institute for Infectious Diseases ""Lazzaro Spallanzani,"" IRCCS","Via Portuense, 292, 00149 Roma RM, Italy",41.866501,12.4564793
"Kentucky BioProcessing, Inc","3700 Airpark Dr, Owensboro, KY 42301, USA",37.7335834,-87.1588156
Paul Sabatier University-Toulouse III,"Route de Narbonne, 31330 Toulouse, France",43.5618994,1.470052
Av. Prof. Lineu Prestes,"Av. Prof. Lineu Prestes - Butanta, São Paulo - SP, Brazil",-23.5677395,-46.7295579
Neuves-Maisons,"54230 Neuves-Maisons, France",48.614365,6.106727999999999
Janssen Research & Development,"3210 Merryfield Row, San Diego, CA 92121, USA",32.9007355,-117.2358095
Harvard University Cambridge,"Cambridge, MA, USA",42.3770029,-71.11666009999999
South Carolina,"South Carolina, USA",33.836081,-81.1637245
CHU de Nantes,"5 Allée de l'Île Gloriette, 44093 Nantes, France",47.2096537,-1.5587188
Community Memorial Hospital,"147 N Brent St, Ventura, CA 93003, USA",34.274182,-119.2577437
University of Agriculture,"University Main Rd, Faisalabad, Punjab 38000, Pakistan",31.4302863,73.06719939999999
University of British Columbia/Vancouver,"Vancouver, BC V6T 1Z4, Canada",49.26060520000001,-123.2459938
Zhejiang Agriculture and Forestry University,"54 Chengzhong St, Lin'an District, Hangzhou Shi, Zhejiang Sheng, China",30.234076,119.729592
université Paris Diderot,"5 Rue Thomas Mann, 75013 Paris, France",48.8277587,2.3826409
Peking University Medical College Hospital,"9 Dongdan 3rd Alley, Dong Dan, Dongcheng Qu, Beijing Shi, China",39.911431,116.41481
Lancaster University,"Bailrigg, Lancaster LA1 4YW, UK",54.0103942,-2.7877294
Chinese Human Genome Center,"Daxing District, Beijing, China",39.803594,116.510197
Jiangsu Province Hospital,"300 Guangzhou Rd, Gulou Qu, Nanjing Shi, Jiangsu Sheng, China, 210029",32.049147,118.767221
Katholieke Universiteit Leuve,"Oude Markt 13, 3000 Leuven, Belgium",50.87795449999999,4.7002953
Korea Food Research Institute,"South Korea, Seoul, Jung-gu, Sindang-dong, 동호로12길 87 (사)한국외식업중앙회 1층",37.559,127.011955
the Hong Kong Polytechnic University,"11 Yuk Choi Rd, Hung Hom, Hong Kong",22.3039347,114.1797311
Queen Mary BioEnterprises Innovation Centre,"42 New Rd, Whitechapel, London E1 2AX, UK",51.5162234,-0.0619002
Jinan Central Hospital Affiliated to Shandong University,"105 Jiefang Rd, Lixia Qu, Jinan Shi, Shandong Sheng, China",36.667675,117.047807
Montefiore Medical Center,"111 E 210th St, The Bronx, NY 10467, USA",40.8804291,-73.88004099999999
Vrije Universiteit Brussel (VUB),"Boulevard de la Plaine 2, 1050 Ixelles, Belgium",50.8218963,4.3949396
Agricultural University of Hebei,"289 Lingyusi St, Lianchi Qu, Baoding Shi, Hebei Sheng, China",38.850606,115.483441
Jefferson Medical College,"4201 Henry Ave, Philadelphia, PA 19144, USA",40.019687,-75.1926756
Universitat Autonoma de Barcelona,"Universitat Autònoma, 08193, Barcelona, Spain",41.5028381,2.1027052
Ahmadu Bello University Teaching Hospital,"Tudan Wada, Zaria, Nigeria",11.0820097,7.712244399999999
Greifswald-Insel Riems,"Riems, Greifswald, Germany",54.1831113,13.3630339
Beijing Forestry University,"35 Qinghua E Rd, Haidian Qu, Beijing Shi, China",40.00448799999999,116.3499723
The Second People's Hospital of Shenzhen,"3002 Sungang W Rd, Futian Qu, Shenzhen Shi, Guangdong Sheng, China",22.556599,114.086145
Herdecke University,"Alfred-Herrhausen-Straße 50, 58455 Witten, Germany",51.4519107,7.356891399999999
Greenwich University,"Old Royal Naval College, Park Row, Greenwich, London SE10 9LS, UK",51.4829308,-0.006994999999999999
Martinsried near to Munich,"Martinsried, 82152 Planegg, Germany",48.1089197,11.451958
Guangzhou Institutes of Biomedicine and Health,"China, Guangdong Sheng, Guangzhou Shi, Huangpu Qu, Luokan, 椈泉路",23.162251,113.447861
Polytechnic of Porto,"R. Dr. Roberto Frias, 4200-465 Porto, Portugal",41.1812781,-8.5967887
Copenhagen University Hospital (Rigshospitalet),"Blegdamsvej 9, 2100 København Ø, Denmark",55.6960841,12.5667877
Centro de Salud María Jesús Hereza,"Calle Jesus Miguel Haddad Blanco, 2, 28911 Leganés, Madrid, Spain",40.3366346,-3.767105099999999
University of Debrecen,"Debrecen, Egyetem tér 1, 4032 Hungary",47.5536257,21.6215102
Servicio de Microbiología. Hospital General Universitario Gregorio Marañón. Madrid,"Calle del Dr. Esquerdo, 46, 28007 Madrid, Spain",40.4191053,-3.6703866
Bernhard-Nocht-Institute for Tropical Medicine,"Bernhard-Nocht-Straße 74, 20359 Hamburg, Germany",53.54677,9.96487
Kenya Ministry of Health,"P.O. Box:30016–00100, Cathedral Rd, Nairobi City, Kenya",-1.291562,36.8148914
"Instituto Pasteur, Av. Paulista","Av. Paulista, 393 - Cerqueira César, São Paulo - SP, 01311-000, Brazil",-23.569039,-46.6476519
Ningbo City First Hospital,"15 Liuting St, Haishu Qu, Ningbo Shi, Zhejiang Sheng, China",29.867781,121.547951
Federal University of Rio,"Av. Pedro Calmon, 550 - Cidade Universitária da Universidade Federal do Rio de Janeiro, Rio de Janeiro - RJ, 21941-901, Brazil",-22.8617077,-43.2234035
Saudi Electronic University,"Abi Bakr As Siddiq Branch Rd, An Narjis, Riyadh 13323, Saudi Arabia",24.8135735,46.6689817
University of Bisha,"255, Al Nakhil, Bisha 67714, Saudi Arabia",20.0277982,42.6130781
University of Sousse,نهج خليفة القروي،، سوسة، Tunisia,35.8377525,10.6071369
Universidad de Antofagasta,"Av. Angamos 601, Antofagasta, Chile",-23.6691073,-70.40539389999999
Konyang University,"30-1 Nae-dong, Nonsan, Chungcheongnam-do, South Korea",36.1826203,127.111405
University of Naples,"Corso Umberto I, 40, 80138 Napoli NA, Italy",40.8454073,14.2577342
Rajendra Memorial Research Institute of Medical Sciences,"Sadikpur, Patna, Bihar 800007, India",25.5997386,85.197722
Churchill Hospital,"801 E Williams Ave, Fallon, NV 89406, USA",39.4766121,-118.7662421
Pusan National University School of Medicine and Biochemical Research Institute,"2 Busandaehak-ro 63beon-gil, Jangjeon-dong, Geumjeong-gu, Busan, South Korea",35.2335123,129.0810047
The University of Zambia,"University of Zambia Great East Road Campus, Lusaka, Zambia",-15.392315,28.3284985
Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS)-Hospital Ramón y Cajal,"Ctra. Colmenar Viejo, 28034 Madrid, Spain",40.4870997,-3.6951406
Cancer Center of Sun Yat-sen University,"1515 Holcombe Blvd, Houston, TX 77030, USA",29.7068146,-95.3971547
Chang-Gung Memorial Hospital,"105, Taiwan, Taipei City, Songshan District, Lane 130, Section 3, Minsheng East Road, 9號號2~4樓",25.0564135,121.5463601
King Faisal University,Al Hofuf Saudi Arabia,25.3405347,49.599911
University of Kiel,"Christian-Albrechts-Platz 4, 24118 Kiel, Germany",54.3460549,10.1147022
Heart Centre University of Leipzig,"Liebigstraße 20, 04103 Leipzig, Germany",51.3309373,12.3865502
USDA/APHIS/WS/National Wildlife Research Center,"4101 Laporte Ave, Fort Collins, CO 80521, USA",40.5863434,-105.1507947
Rumah Sakit Persahabatan,"Jl. Persahabatan Raya No.1, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13230, Indonesia",-6.202762700000001,106.8848625
Liverpool School of Tropical Medicine,"Pembroke Pl, Liverpool L3 5QA, UK",53.40855440000001,-2.969074
Lyn Silfen University,"Philadelphia, PA 19104, USA",39.9522188,-75.1932137
Jilin University Bethune School of Medical Sciences,"828 Xinmin St, Gui Lin Lu, Chaoyang Qu, Changchun Shi, Jilin Sheng, China, 130021",43.870357,125.309797
University of Alabama in Huntsville,"Shelby Center for Science and Technology, 301 Sparkman Dr NW, Huntsville, AL 35899, USA",34.7251471,-86.639783
Research Facility Studenec,"675 02 Studenec, Czechia",49.2001199,16.0648122
Chang Gung University College of Medicine (KCGMH-CGU),"No. 259, Wenhua 1st Road, Guishan District, Taoyuan City, Taiwan 333",25.0334479,121.3874856
Unidad de Enfermedades Infecciosas. Servicio de Medicina Interna. Hospital Universitario Puerta de Hierro. Madrid,"Madrid, Spain",40.4167754,-3.7037902
HamHung Pharmaceutical University,"Hamhung, South Hamgyong, North Korea",39.93040999999999,127.5410289
University of Wiirzburg,"Sanderring 2, 97070 Würzburg, Germany",49.7881814,9.93526
Liaoning Province CDC,"Liaoning, China",41.9436543,122.5290376
Baylor Scott & White Health,"1713 SW H K Dodgen Loop #1836, Temple, TX 76502, USA",31.0737537,-97.3734187
Weill Corneal Medical College,"1300 York Ave, New York, NY 10065, USA",40.7649151,-73.954897
Yale University School of Medicine,"333 Cedar St, New Haven, CT 06510, USA",41.30323,-72.9338698
Ciudad de México (CDMX),"Mexico City, CDMX, Mexico",19.4326077,-99.133208
Academy of Millitary Medical Sciences,"San Antonio, TX 78234, USA",29.4604596,-98.4477888
Lourival Melo Motta Avenue,"Av. Lourival Melo Mota, Alagoas, Brazil",-9.5389083,-35.7920836
State University,"Fort Collins, CO 80523, USA",40.573436,-105.0865473
Liverpool John Moores University,"Brownlow Hill, Liverpool L3 5UG, UK",53.4053868,-2.972759
University of Wisconsin Hospital,"600 Highland Ave, Madison, WI 53792, USA",43.0766353,-89.4311231
Oral Science Research Laboratory,"Museum of, Texas Tech University, 3301 4th St, Lubbock, TX 79415, USA",33.5897298,-101.8858816
Nottingham Trent University,"50 Shakespeare St, Nottingham NG1 4FQ, UK",52.9580712,-1.1540226
